2018-12-08,0,0.0,0.0
2018-12-09,0,0.0,0.0
2018-12-10,0,0.0,0.0
2018-12-11,0,0.0,0.0
2018-12-12,0,0.0,0.0
2018-12-13,0,0.0,0.0
2018-12-14,0,0.0,0.0
2018-12-15,0,0.0,0.0
2018-12-16,0,0.0,0.0
2018-12-17,0,0.0,0.0
2018-12-18,0,0.0,0.0
2018-12-19,0,0.0,0.0
2018-12-20,0,0.0,0.0
2018-12-21,0,0.0,0.0
2018-12-22,0,0.0,0.0
2018-12-23,0,0.0,0.0
2018-12-24,0,0.0,0.0
2018-12-25,0,0.0,0.0
2018-12-26,0,0.0,0.0
2018-12-27,0,0.0,0.0
2018-12-28,0,0.0,0.0
2018-12-29,0,0.0,0.0
2018-12-30,0,0.0,0.0
2018-12-31,0,0.0,0.0
2019-01-01,0,0.0,0.0
2019-01-02,0,0.0,0.0
2019-01-03,0,0.0,0.0
2019-01-04,0,0.0,0.0
2019-01-05,0,0.0,0.0
2019-01-06,0,0.0,0.0
2019-01-07,0,0.0,0.0
2019-01-08,0,0.0,0.0
2019-01-09,0,0.0,0.0
2019-01-10,0,0.0,0.0
2019-01-11,0,0.0,0.0
2019-01-12,0,0.0,0.0
2019-01-13,0,0.0,0.0
2019-01-14,0,0.0,0.0
2019-01-15,0,0.0,0.0
2019-01-16,0,0.0,0.0
2019-01-17,0,0.0,0.0
2019-01-18,0,0.0,0.0
2019-01-19,0,0.0,0.0
2019-01-20,0,0.0,0.0
2019-01-21,0,0.0,0.0
2019-01-22,0,0.0,0.0
2019-01-23,0,0.0,0.0
2019-01-24,0,0.0,0.0
2019-01-25,0,0.0,0.0
2019-01-26,0,0.0,0.0
2019-01-27,0,0.0,0.0
2019-01-28,0,0.0,0.0
2019-01-29,0,0.0,0.0
2019-01-30,0,0.0,0.0
2019-01-31,0,0.0,0.0
2019-02-01,0,0.0,0.0
2019-02-02,0,0.0,0.0
2019-02-03,0,0.0,0.0
2019-02-04,0,0.0,0.0
2019-02-05,0,0.0,0.0
2019-02-06,0,0.0,0.0
2019-02-07,0,0.0,0.0
2019-02-08,0,0.0,0.0
2019-02-09,0,0.0,0.0
2019-02-10,0,0.0,0.0
2019-02-11,0,0.0,0.0
2019-02-12,0,0.0,0.0
2019-02-13,0,0.0,0.0
2019-02-14,0,0.0,0.0
2019-02-15,0,0.0,0.0
2019-02-16,0,0.0,0.0
2019-02-17,0,0.0,0.0
2019-02-18,0,0.0,0.0
2019-02-19,0,0.0,0.0
2019-02-20,0,0.0,0.0
2019-02-21,0,0.0,0.0
2019-02-22,0,0.0,0.0
2019-02-23,0,0.0,0.0
2019-02-24,0,0.0,0.0
2019-02-25,0,0.0,0.0
2019-02-26,0,0.0,0.0
2019-02-27,0,0.0,0.0
2019-02-28,0,0.0,0.0
2019-03-01,0,0.0,0.0
2019-03-02,0,0.0,0.0
2019-03-03,0,0.0,0.0
2019-03-04,0,0.0,0.0
2019-03-05,0,0.0,0.0
2019-03-06,0,0.0,0.0
2019-03-07,0,0.0,0.0
2019-03-08,0,0.0,0.0
2019-03-09,0,0.0,0.0
2019-03-10,0,0.0,0.0
2019-03-11,0,0.0,0.0
2019-03-12,0,0.0,0.0
2019-03-13,0,0.0,0.0
2019-03-14,0,0.0,0.0
2019-03-15,0,0.0,0.0
2019-03-16,0,0.0,0.0
2019-03-17,0,0.0,0.0
2019-03-18,0,0.0,0.0
2019-03-19,0,0.0,0.0
2019-03-20,0,0.0,0.0
2019-03-21,0,0.0,0.0
2019-03-22,0,0.0,0.0
2019-03-23,0,0.0,0.0
2019-03-24,0,0.0,0.0
2019-03-25,0,0.0,0.0
2019-03-26,0,0.0,0.0
2019-03-27,0,0.0,0.0
2019-03-28,0,0.0,0.0
2019-03-29,0,0.0,0.0
2019-03-30,0,0.0,0.0
2019-03-31,3,0.0,0.0
2019-04-01,15,0.0,2.5281
2019-04-02,18,0.0,12.9283
2019-04-03,16,0.0,19.7395
2019-04-04,11,0.0,23.0621
2019-04-05,44,0.0,23.5012
2019-04-06,37,0.0,41.8556
2019-04-07,23,0.0,47.5922
2019-04-08,15,0.5286,46.3285
2019-04-09,15,0.5286,46.3285
2019-04-10,15,0.0,46.3972
2019-04-11,22,0.0,46.4351
2019-04-12,18,2.8387,46.0184
2019-04-13,25,6.0285,35.4001
2019-04-14,29,11.0718,26.9282
2019-04-15,17,9.4688,30.2455
